Drivers,Year,Australia,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Germany,Hungary,Belgium,Italy,Netherlands,Singapore,Japan,Russia,Emilia_Romagna,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total_Points
L. HAMILTON,2015,25,18,25,NA,25,18,15,25,NA,NA,NA,18,25,NA,8,25,25,NA,-,25,NA,NA,NA,25,18,NA,NA,25,18,NA,NA,18,381
N. ROSBERG,2015,18,15,18,NA,15,25,25,18,NA,NA,NA,25,18,NA,4,18,-,NA,12,18,NA,NA,NA,18,25,NA,NA,18,25,NA,NA,25,322
S. VETTEL,2015,15,25,15,NA,10,15,18,10,NA,NA,NA,12,15,NA,25,-,18,NA,25,15,NA,NA,NA,6,12,NA,NA,15,15,NA,NA,-,278
K. RAIKKONEN,2015,-,12,12,NA,18,10,8,12,NA,NA,NA,-,4,NA,-,6,10,NA,15,12,NA,NA,NA,15,15,NA,NA,-,12,NA,NA,-,150
V. BOTTAS,2015,-,10,8,NA,12,12,-,15,NA,NA,NA,10,10,NA,-,2,12,NA,10,10,NA,NA,NA,4,-,NA,NA,-,10,NA,NA,15,136
F. MASSA,2015,12,8,10,NA,1,8,-,8,NA,NA,NA,15,12,NA,-,8,15,NA,-,-,NA,NA,NA,8,4,NA,NA,-,-,NA,NA,8,121
D. KVYAT,2015,-,2,-,NA,2,1,12,2,NA,NA,NA,-,8,NA,18,12,1,NA,8,-,NA,NA,NA,-,1,NA,NA,-,6,NA,NA,12,95
D. RICCIARDO,2015,8,1,2,NA,8,6,10,-,NA,NA,NA,1,-,NA,15,-,4,NA,18,-,NA,NA,NA,12,8,NA,NA,1,-,NA,NA,10,92
S. PEREZ,2015,1,-,-,NA,4,-,6,-,NA,NA,NA,2,2,NA,-,10,8,NA,6,-,NA,NA,NA,-,10,NA,NA,10,-,NA,NA,4,78
N. HULKENBERG,2015,6,-,-,NA,-,-,-,4,NA,NA,NA,8,6,NA,-,-,6,NA,-,8,NA,NA,NA,1,6,NA,NA,-,8,NA,NA,6,58
R. GROSJEAN,2015,-,-,6,NA,6,4,-,1,NA,NA,NA,-,-,NA,6,15,-,NA,-,6,NA,NA,NA,10,2,NA,NA,-,4,NA,NA,1,51
M. VERSTAPPEN,2015,-,6,-,NA,-,-,-,-,NA,NA,NA,4,-,NA,12,4,-,NA,4,2,NA,NA,NA,2,-,NA,NA,12,2,NA,NA,2,49
F. NASR,2015,10,-,4,NA,-,-,2,-,NA,NA,NA,-,-,NA,-,-,-,NA,1,-,NA,NA,NA,-,-,NA,NA,2,-,NA,NA,-,27
P. MALDONADO,2015,-,-,-,NA,-,-,-,6,NA,NA,NA,6,-,NA,-,-,-,NA,-,4,NA,NA,NA,-,-,NA,NA,4,1,NA,NA,-,27
C. SAINZ,2015,2,4,-,NA,-,2,1,-,NA,NA,NA,-,-,NA,-,-,-,NA,2,1,NA,NA,NA,-,-,NA,NA,6,-,NA,NA,-,18
J. BUTTON,2015,-,-,-,NA,-,-,4,-,NA,NA,NA,-,-,NA,2,-,-,NA,-,-,NA,NA,NA,-,-,NA,NA,8,-,NA,NA,-,16
F. ALONSO,2015, ,-,-,NA,-,-,-,-,NA,NA,NA,-,1,NA,10,-,-,NA,-,-,NA,NA,NA, ,-,NA,NA,-,-,NA,NA,-,11
M. ERICSSON,2015,4,-,1,NA,-,-,-,-,NA,NA,NA,-,-,NA,1,1,2,NA,-,-,NA,NA,NA,-,-,NA,NA,-,-,NA,NA,-,9
R. MERHI,2015,-,-,-,NA,-,-,-,-,NA,NA,NA,-,-,NA,-,-,-,NA, , ,NA,NA,NA,-,-,NA,NA, , ,NA,NA, ,0
A. ROSSI,2015, , , ,NA, , , , ,NA,NA,NA, , ,NA, , , ,NA,-,-,NA,NA,NA,-, ,NA,NA,-,-,NA,NA,-,0
W. STEVENS,2015,-,-,-,NA,-,-,-,-,NA,NA,NA,-,-,NA,-,-,-,NA,-,-,NA,NA,NA,-,-,NA,NA,-,-,NA,NA,-,0
