Drivers,Year,Australia,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Germany,Hungary,Belgium,Italy,Netherlands,Singapore,Japan,Russia,Emilia_Romagna,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total_Points
L. HAMILTON,2014,-,25,25,NA,25,25,18,-,NA,NA,NA,18,18,25,15,15,-,NA,25,25,NA,NA,25,25,25,NA,NA,18,50,NA,NA,NA,384
N. ROSBERG,2014,25,18,18,NA,18,18,25,18,NA,NA,NA,25,25,-,25,12,18,NA,18,18,NA,NA,-,18,18,NA,NA,25,-,NA,NA,NA,317
D. RICCIARDO,2014,-,-,12,NA,12,15,15,25,NA,NA,NA,4,4,15,8,25,25,NA,10,12,NA,NA,15,6,15,NA,NA,-,24,NA,NA,NA,238
V. BOTTAS,2014,10,4,6,NA,4,10,-,6,NA,NA,NA,15,15,18,18,4,15,NA,12,8,NA,NA,-,15,10,NA,NA,1,30,NA,NA,NA,186
S. VETTEL,2014,-,15,10,NA,8,12,-,15,NA,NA,NA,-,-,10,12,6,10,NA,8,15,NA,NA,18,4,6,NA,NA,10,8,NA,NA,NA,167
F. ALONSO,2014,12,12,15,NA,2,8,12,8,NA,NA,NA,10,10,8,10,18,6,NA,-,-,NA,NA,12,8,8,NA,NA,8,4,NA,NA,NA,161
F. MASSA,2014,-,6,-,NA,6,-,6,-,NA,NA,NA,12,12,-,-,10,-,NA,15,6,NA,NA,10,-,12,NA,NA,15,36,NA,NA,NA,134
J. BUTTON,2014,15,8,-,NA,-,-,8,12,NA,NA,NA,-,-,12,4,1,8,NA,4,10,NA,NA,-,12,-,NA,NA,12,20,NA,NA,NA,126
N. HULKENBERG,2014,8,10,8,NA,10,1,10,10,NA,NA,NA,2,2,4,6,-,1,NA,-,4,NA,NA,2,-,-,NA,NA,4,16,NA,NA,NA,96
S. PEREZ,2014,1,-,2,NA,15,2,-,-,NA,NA,NA,8,8,-,1,-,4,NA,6,1,NA,NA,6,1,-,NA,NA,-,12,NA,NA,NA,59
K. MAGNUSSEN,2014,18,2,-,NA,-,-,1,2,NA,NA,NA,6,6,6,2,-,-,NA,1,-,NA,NA,1,10,4,NA,NA,2,-,NA,NA,NA,55
K. RAIKKONEN,2014,6,-,4,NA,1,6,-,1,NA,NA,NA,1,1,-,-,8,12,NA,2,-,NA,NA,4,2,-,NA,NA,6,2,NA,NA,NA,55
J. VERGNE,2014,4,-,-,NA,-,-,-,4,NA,NA,NA,-,-,1,-,2,-,NA,-,2,NA,NA,8,-,1,NA,NA,-,-,NA,NA,NA,22
R. GROSJEAN,2014,-,-,-,NA,-,4,4,-,NA,NA,NA,-,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,8
D. KVYAT,2014,2,1,1,NA,-,-,-,-,NA,NA,NA,-,-,2,-,-,2,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,8
P. MALDONADO,2014,-,-,-,NA,-,-,-,-,NA,NA,NA,-,-,-,-,-,-,NA,-,-,NA,NA,-,-,2,NA,NA,-,-,NA,NA,NA,2
J. BIANCHI,2014,-,-,-,NA,-,-,2,-,NA,NA,NA,-,-,-,-,-,-,NA,-,-,NA,NA,-, , ,NA,NA, , ,NA,NA,NA,2
A. SUTIL,2014,-,-,-,NA,-,-,-,-,NA,NA,NA,-,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,0
M. ERICSSON,2014,-,-,-,NA,-,-,-,-,NA,NA,NA,-,-,-,-,-,-,NA,-,-,NA,NA,-,-, ,NA,NA, , ,NA,NA,NA,0
E. GUTIERREZ,2014,-,-,-,NA,-,-,-,-,NA,NA,NA,-,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,0
M. CHILTON,2014,-,-,-,NA,-,-,-,-,NA,NA,NA,-,-,-,-,-,-,NA,-,-,NA,NA,-,-, ,NA,NA, , ,NA,NA,NA,0
K. KOBAYASHI,2014,-,-,-,NA,-,-,-,-,NA,NA,NA,-,-,-,-,-, ,NA,-,-,NA,NA,-,-, ,NA,NA, ,-,NA,NA,NA,0
W. STEVENS,2014, , , ,NA, , , , ,NA,NA,NA, , , , , , ,NA, , ,NA,NA, , , ,NA,NA, ,-,NA,NA,NA,0
