Drivers,Year,Australia,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Germany,Hungary,Belgium,Italy,Netherlands,Singapore,Japan,Russia,Emilia_Romagna,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total_Points
M. VERSTAPPEN,2024,-,NA,33,NA,26,25,8,25,NA,NA,10,18,18,NA,10,12,8,18,18,26,NA,25,NA,NA,8,26,25,23,31,10,26,8,437
L. NORRIS,2024,15,NA,21,NA,8,19,12,18,NA,NA,13,6,15,NA,18,10,16,26,25,10,NA,18,NA,NA,25,9,4,18,16,9,25,18,374
C. LECLERC,2024,19,NA,17,NA,12,10,25,-,NA,NA,18,2,-,NA,12,15,25,15,10,12,NA,15,NA,NA,15,22,16,30,16,12,22,16,356
O. PIASTRI,2024,12,NA,6,NA,4,6,18,10,NA,NA,25,25,12,NA,25,18,18,12,15,4,NA,12,NA,NA,1,23,12,10,11,6,3,4,292
C. SAINZ,2024,25,NA,14,NA,15,8,15,-,NA,NA,-,19,11,NA,8,8,12,10,6,15,NA,10,NA,NA,18,13,-,25,4,15,14,25,290
G. RUSSELL,2024,-,NA,9,NA,10,12,10,15,NA,NA,15,30,-,NA,5,-,6,6,12,6,NA,7,NA,NA,10,18,8,12,15,25,4,10,245
L. HAMILTON,2024,-,NA,9,NA,6,15,7,13,NA,NA,2,15,25,NA,15,25,10,4,8,2,NA,8,NA,NA,12,3,2,3,1,18,8,12,223
S. PEREZ,2024,10,NA,21,NA,18,4,-,-,NA,NA,-,7,-,NA,6,7,4,8,1,18,NA,4,NA,NA,-,-,18,6,1,1,18,-,152
F. ALONSO,2024,4,NA,7,NA,2,-,-,8,NA,NA,8,-,4,NA,-,4,-,1,4,8,NA,-,NA,NA,2,6,10,-,-,-,2,-,70
P. GASLY,2024,-,NA,-,NA,-,2,1,2,NA,NA,-,1,-,NA,-,-,-,2,-,-,NA,-,NA,NA,6,10,-,-,17,-,-,1,42
N. HULKENBERG,2024,2,NA,1,NA,-,-,-,-,NA,NA,-,8,8,NA,-,-,-,-,2,-,NA,-,NA,NA,4,2,1,5,-,4,2,2,41
Y. TSUNODA,2024,6,NA,-,NA,-,-,4,-,NA,NA,-,-,1,NA,2,-,-,-,-,1,NA,1,NA,NA,-,-,-,-,6,2,7,-,30
L. STROLL,2024,8,NA,-,NA,1,-,-,6,NA,NA,-,-,6,NA,1,-,-,-,-,-,NA,2,NA,NA,-,-,-,-,-,-,-,-,24
E. OCON,2024,-,NA,-,NA,-,1,-,1,NA,NA,-,-,-,NA,-,2,-,-,-,-,NA,-,NA,NA, ,-,-,-,18,-,1,-,23
K. MAGNUSSEN,2024,1,NA,-,NA,-,-,-,-,NA,NA, ,4,-,NA,-,-,1,-,-,-,NA,-,NA,NA,-,2,-,2,-,-,-,6,16
A. ALBON,2024,-,NA,-,NA,-,-,2,-,NA,NA,6,-,2,NA,-,-,2,-,-,-,NA,-,NA,NA,-,-,-,-,-,-,-,-,12
D. RICCIARDO,2024,-,NA,-,NA,-,-,-,4,NA,NA,-,2,-,NA,-,1,-,-,-,-,NA,-,NA,NA, , ,-, , , ,5, ,12
O. BEARMAN,2024, ,NA, ,NA, , , , ,NA,NA,1, , ,NA, , , , , , ,NA, ,NA,NA, , ,6, ,-, , , ,7
F. COLAPINTO,2024, ,NA, ,NA, , , , ,NA,NA,4, , ,NA, , ,-, ,-, ,NA, ,NA,NA,-,-, ,1,-,-, ,-,5
G. ZHOU,2024,-,NA,-,NA,-,-,-,-,NA,NA,-,-,-,NA,-,-,-,-,-,-,NA,-,NA,NA,-,4,-,-,-,-,-,-,4
L. LAWSON,2024, ,NA, ,NA, , , , ,NA,NA, , , ,NA, , , , , , ,NA, ,NA,NA,-,-, ,2,2,-, ,-,4
V. BOTTAS,2024,-,NA,-,NA,-,-,-,-,NA,NA,-,-,-,NA,-,-,-,-,-,-,NA,-,NA,NA,-,-,-,-,-,-,-,-,0
L. SARGEANT,2024,-,NA,-,NA,-,-,-,-,NA,NA, ,-,-,NA,-,-, ,-, ,-,NA,-,NA,NA, , ,-, , , ,-, ,0
J. DOOHAN,2024, ,NA, ,NA, , , , ,NA,NA, , , ,NA, , , , , , ,NA, ,NA,NA,-, , , , , , , ,0
