Drivers,Year,Australia,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Germany,Hungary,Belgium,Italy,Netherlands,Singapore,Japan,Russia,Emilia_Romagna,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total_Points
L. HAMILTON,2019,18,18,25,NA,NA,26,25,25,NA,25,18,10,26,2,25,18,16,NA,12,16,26,NA,NA,25,26,NA,NA,18,6,NA,NA,25,413
V. BOTTAS,2019,26,12,18,NA,NA,18,15,13,NA,18,25,15,18,-,4,15,18,NA,10,25,18,NA,NA,18,12,NA,NA,25,-,NA,NA,15,326
M. VERSTAPPEN,2019,15,10,12,NA,NA,15,12,10,NA,12,12,26,10,26,19,-,4,NA,15,-,12,NA,NA,6,18,NA,NA,15,25,NA,NA,8,278
C. LECLERC,2019,10,-,10,NA,NA,10,-,15,NA,15,11,18,15,-,12,25,25,NA,18,8,15,NA,NA,15,15,NA,NA,13,-,NA,NA,13,264
S. VETTEL,2019,12,15,15,NA,NA,12,18,18,NA,11,15,12,-,18,15,13,-,NA,25,18,-,NA,NA,4,10,NA,NA,-,-,NA,NA,18,240
C. SAINZ,2019,-,25,-,NA,NA,4,8,-,NA,8,6,4,8,10,10,-,-,NA,-,10,8,NA,NA,8,1,NA,NA,4,15,NA,NA,-,96
P. GASLY,2019,-,8,9,NA,NA,8,11,4,NA,1,-,6,12,-,8,2,-,NA,4,6,-,NA,NA,-,-,NA,NA,-,18,NA,NA,2,95
A. ALBON,2019,-,1,1,NA,NA,-,4,-,NA,-,-,-,-,8,1,10,8,NA,8,12,10,NA,NA,12,8,NA,NA,10,-,NA,NA,10,92
D. RICCIARDO,2019,-,-,6,NA,NA,-,2,8,NA,-,-,-,6,-,-,-,12,NA,-,-,-,NA,NA,-,-,NA,NA,8,8,NA,NA,4,54
S. PEREZ,2019,-,-,4,NA,NA,-,-,-,NA,-,8,-,-,-,-,8,6,NA,-,4,6,NA,NA,1,6,NA,NA,1,2,NA,NA,6,52
L. NORRIS,2019,-,2,-,NA,NA,-,-,-,NA,2,4,8,-,-,2,-,1,NA,6,-,4,NA,NA,10,4,NA,NA,6,4,NA,NA,-,49
K. RAIKKONEN,2019,4,4,2,NA,NA,-,-,-,NA,6,1,2,4,-,6,-,-,NA,-,-,-,NA,NA,2,-,NA,NA,-,12,NA,NA,-,43
D. KVYAT,2019,1,-,-,NA,NA,2,6,1,NA,-,-,-,2,15,-,6,-,NA,-,1,-,NA,NA,-,2,NA,NA,-,1,NA,NA,-,37
N. HULKENBERG,2019,6,-,-,NA,NA,-,-,6,NA,4,-,-,1,-,-,4,10,NA,2,-,1,NA,NA,-,-,NA,NA,2,-,NA,NA,1,37
L. STROLL,2019,2,-,-,NA,NA,-,-,2,NA,-,2,-,-,12,-,1,-,NA,-,2,-,NA,NA,-,-,NA,NA,-,-,NA,NA,-,21
K. MAGNUSSEN,2019,8,6,-,NA,NA,6,-,-,NA,-,-,-,-,4,-,-,-,NA,-,-,2,NA,NA,-,-,NA,NA,-,-,NA,NA,-,20
A. GIOVINAZZI,2019,-,-,-,NA,NA,-,-,-,NA,-,-,1,-,-,-,-,2,NA,1,-,-,NA,NA, ,-,NA,NA,-,10,NA,NA,-,14
R. GROSJEAN,2019,-,-,-,NA,NA,1,1,-,NA,-,-,-,-,6,-,-,-,NA,-,-,-,NA,NA,-,-,NA,NA,-,-,NA,NA,-,8
R. KUBICA,2019,-, ,-,NA,NA,-,-,-,NA,-,-,-,-,1,-,-,-,NA,-,-,-,NA,NA,-,-,NA,NA,-,-,NA,NA,-,1
G. RUSSELL,2019,-,-,-,NA,NA,-,-,-,NA,-,-,-,-,-,-,-,-,NA,-,-,-,NA,NA,-,-,NA,NA,-,-,NA,NA,-,0
