Drivers,Year,Australia,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Germany,Hungary,Belgium,Italy,Netherlands,Singapore,Japan,Russia,Emilia_Romagna,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total_Points
S. VETTEL,2013,15,25,12,NA,25,12,18,25,NA,NA,NA,NA,-,25,15,25,25,NA,25,25,NA,NA,25,25,25,NA,NA,25,25,NA,NA,NA,397
F. ALONSO,2013,18,-,25,NA,4,25,6,18,NA,NA,NA,NA,15,12,10,18,18,NA,18,12,NA,NA,8,-,10,NA,NA,10,15,NA,NA,NA,242
M. WEBBER,2013,8,18,-,NA,6,10,15,12,NA,NA,NA,NA,18,6,12,10,15,NA,-,18,NA,NA,-,-,18,NA,NA,15,18,NA,NA,NA,199
L. HAMILTON,2013,10,15,15,NA,10,-,12,15,NA,NA,NA,NA,12,10,25,15,2,NA,10,-,NA,NA,10,8,6,NA,NA,12,2,NA,NA,NA,189
K. RAIKKONEN,2013,25,6,18,NA,18,18,1,2,NA,NA,NA,NA,10,18,18,-,-,NA,15,10,NA,NA,18,6,-,NA,NA, , ,NA,NA,NA,183
N. ROSBERG,2013,-,12,-,NA,2,8,25,10,NA,NA,NA,NA,25,2,-,12,8,NA,12,4,NA,NA,6,18,15,NA,NA,2,10,NA,NA,NA,171
R. GROSJEAN,2013,1,8,2,NA,15,-,-,-,NA,NA,NA,NA,-,15,8,4,4,NA,-,15,NA,NA,15,15,12,NA,NA,18,-,NA,NA,NA,132
F. MASSA,2013,12,10,8,NA,-,15,-,4,NA,NA,NA,NA,8,-,4,6,12,NA,8,1,NA,NA,2,12,4,NA,NA,-,6,NA,NA,NA,112
J. BUTTON,2013,2,-,10,NA,1,4,8,-,NA,NA,NA,NA,-,8,6,8,1,NA,6,2,NA,NA,4,-,-,NA,NA,1,12,NA,NA,NA,73
N. HULKENBERG,2013,-,4,1,NA,-,-,-,-,NA,NA,NA,NA,1,1,-,-,10,NA,2,8,NA,NA,12,-,-,NA,NA,8,4,NA,NA,NA,51
S. PEREZ,2013,-,2,-,NA,8,2,-,-,NA,NA,NA,NA,-,4,2,-,-,NA,4,-,NA,NA,1,10,2,NA,NA,6,8,NA,NA,NA,49
P. di RESTA,2013,4,-,4,NA,12,6,2,6,NA,NA,NA,NA,2,-,-,-,-,NA,-,-,NA,NA,-,4,8,NA,NA,-,-,NA,NA,NA,48
A. SUTIL,2013,6,-,-,NA,-,-,10,1,NA,NA,NA,NA,6,-,-,2,-,NA,1,-,NA,NA,-,2,1,NA,NA,-,-,NA,NA,NA,29
D. RICCIARDO,2013,-,-,6,NA,-,1,-,-,NA,NA,NA,NA,4,-,-,1,6,NA,-,-,NA,NA,-,1,-,NA,NA,-,1,NA,NA,NA,20
J. VERGNE,2013,-,1,-,NA,-,-,4,8,NA,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,13
E. GUTIERREZ,2013,-,-,-,NA,-,-,-,-,NA,NA,NA,NA,-,-,-,-,-,NA,-,6,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,6
V. BOTTAS,2013,-,-,-,NA,-,-,-,-,NA,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,4,-,NA,NA,NA,4
P. MALDONADO,2013,-,-,-,NA,-,-,-,-,NA,NA,NA,NA,-,-,1,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,1
J. BIANCHI,2013,-,-,-,NA,-,-,-,-,NA,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,0
C. PIC,2013,-,-,-,NA,-,-,-,-,NA,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,0
H. KOVALAINEN,2013, , , ,NA, , , , ,NA,NA,NA,NA, , , , , ,NA, , ,NA,NA, , , ,NA,NA,-,-,NA,NA,NA,0
G. van der GARDE,2013,-,-,-,NA,-,-,-,-,NA,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,0
M. CHILTON,2013,-,-,-,NA,-,-,-,-,NA,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,0
