Drivers,Year,Australia,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Germany,Hungary,Belgium,Italy,Netherlands,Singapore,Japan,Russia,Emilia_Romagna,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total_Points
S. VETTEL,2011,25,25,18,25,NA,25,25,18,25,NA,NA,NA,18,12,18,25,25,NA,25,15,NA,NA,25,25,-,NA,NA,NA,18,NA,NA,NA,392
J. BUTTON,2011,8,18,12,8,NA,15,15,25,8,NA,NA,NA,-,-,25,15,18,NA,18,25,NA,NA,12,18,15,NA,NA,NA,15,NA,NA,NA,270
M. WEBBER,2011,10,12,15,18,NA,12,12,15,15,NA,NA,NA,15,15,10,18,-,NA,15,12,NA,NA,15,12,12,NA,NA,NA,25,NA,NA,NA,258
F. ALONSO,2011,12,8,6,15,NA,10,18,-,18,NA,NA,NA,25,18,15,12,15,NA,12,18,NA,NA,10,15,18,NA,NA,NA,12,NA,NA,NA,257
L. HAMILTON,2011,18,4,25,12,NA,18,8,-,12,NA,NA,NA,12,25,12,-,12,NA,10,10,NA,NA,18,6,25,NA,NA,NA,-,NA,NA,NA,227
F. MASSA,2011,6,10,8,-,NA,-,-,8,10,NA,NA,NA,10,10,8,4,8,NA,2,6,NA,NA,8,-,10,NA,NA,NA,10,NA,NA,NA,118
N. ROSBERG,2011,-,-,10,10,NA,6,-,-,6,NA,NA,NA,8,6,2,8,-,NA,6,1,NA,NA,4,8,8,NA,NA,NA,6,NA,NA,NA,89
M. SCHUMACHER,2011,-,2,4,-,NA,8,-,12,-,NA,NA,NA,2,4,-,10,10,NA,-,8,NA,NA,-,10,6,NA,NA,NA,-,NA,NA,NA,76
A. SUTIL,2011,2,-,-,-,NA,-,6,-,2,NA,NA,NA,-,8,-,6,-,NA,4,-,NA,NA,-,2,4,NA,NA,NA,8,NA,NA,NA,42
V. PETROV,2011,15,-,2,4,NA,-,-,10,-,NA,NA,NA,-,1,-,2,-,NA,-,2,NA,NA,-,-,-,NA,NA,NA,1,NA,NA,NA,37
N. HEIDFELD,2011,-,15,-,6,NA,4,4,-,1,NA,NA,NA,4,-,-, , ,NA, , ,NA,NA, , , ,NA,NA,NA, ,NA,NA,NA,34
K. KOBAYASHI,2011,-,6,1,1,NA,1,10,6,-,NA,NA,NA,-,2,-,-,-,NA,-,-,NA,NA,-,-,1,NA,NA,NA,2,NA,NA,NA,30
P. di RESTA,2011,1,1,-,-,NA,-,-,-,-,NA,NA,NA,-,-,6,-,4,NA,8,-,NA,NA,1,-,2,NA,NA,NA,4,NA,NA,NA,27
J. ALGUERSUARI,2011,-,-,-,-,NA,-,-,4,4,NA,NA,NA,1,-,1,-,6,NA,-,-,NA,NA,6,4,-,NA,NA,NA,-,NA,NA,NA,26
S. BUEMI,2011,4,-,-,2,NA,-,1,1,-,NA,NA,NA,-,-,4,-,1,NA,-,-,NA,NA,2,-,-,NA,NA,NA,-,NA,NA,NA,15
S. PEREZ,2011,-,-,-,-,NA,2,-,-,-,NA,NA,NA,6,-,-,-,-,NA,1,4,NA,NA,-,1,-,NA,NA,NA,-,NA,NA,NA,14
R. BARRICHELLO,2011,-,-,-,-,NA,-,2,2,-,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,NA,-,NA,NA,NA,4
B. SENNA,2011, , , , ,NA, , , , ,NA,NA,NA, , , ,-,2,NA,-,-,NA,NA,-,-,-,NA,NA,NA,-,NA,NA,NA,2
P. MALDONADO,2011,-,-,-,-,NA,-,-,-,-,NA,NA,NA,-,-,-,1,-,NA,-,-,NA,NA,-,-,-,NA,NA,NA,-,NA,NA,NA,1
P. de la ROSA,2011, , , , ,NA, , ,-, ,NA,NA,NA, , , , , ,NA, , ,NA,NA, , , ,NA,NA,NA, ,NA,NA,NA,0
J. TRULLI,2011,-,-,-,-,NA,-,-,-,-,NA,NA,NA,-, ,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,NA,-,NA,NA,NA,0
H. KOVALAINEN,2011,-,-,-,-,NA,-,-,-,-,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,NA,-,NA,NA,NA,0
V. LIUZZI,2011,-,-,-,-,NA,-,-,-,-,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-, ,-,NA,NA,NA,-,NA,NA,NA,0
J. d'AMBROSIO,2011,-,-,-,-,NA,-,-,-,-,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,NA,-,NA,NA,NA,0
T. GLOCK,2011,-,-,-,-,NA,-,-,-,-,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,NA,-,NA,NA,NA,0
N. KARTHIKEYAN,2011,-,-,-,-,NA,-,-,-,-,NA,NA,NA, , , , , ,NA, , ,NA,NA, ,-, ,NA,NA,NA, ,NA,NA,NA,0
D. RICCIARDO,2011, , , , ,NA, , , , ,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,NA,-,NA,NA,NA,0
K. CHANDHOK,2011, , , , ,NA, , , , ,NA,NA,NA, ,-, , , ,NA, , ,NA,NA, , , ,NA,NA,NA, ,NA,NA,NA,0
