Drivers,Year,Australia,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Germany,Hungary,Belgium,Italy,Netherlands,Singapore,Japan,Russia,Emilia_Romagna,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total_Points
N. ROSBERG,2016,25,15,25,NA,NA,-,6,10,25,NA,NA,12,15,12,18,25,25,NA,25,25,25,NA,NA,25,18,NA,NA,18,18,NA,NA,18,385
L. HAMILTON,2016,18,-,6,NA,NA,-,25,25,10,NA,NA,25,25,25,25,15,18,NA,15,15,18,NA,NA,18,25,NA,NA,25,25,NA,NA,25,380
D. RICCIARDO,2016,12,25,12,NA,NA,12,18,6,6,NA,NA,10,12,18,15,18,10,NA,18,8,-,NA,NA,6,10,NA,NA,15,4,NA,NA,15,256
S. VETTEL,2016,15,-,18,NA,NA,15,12,18,18,NA,NA,-,2,10,12,8,15,NA,10,12,-,NA,NA,15,15,NA,NA,12,10,NA,NA,10,212
M. VERSTAPPEN,2016,1,18,4,NA,NA,25,-,12,4,NA,NA,18,18,15,10,-,6,NA,8,18,-,NA,NA,4,12,NA,NA,-,15,NA,NA,12,204
K. RAIKKONEN,2016,-,12,10,NA,NA,18,-,8,12,NA,NA,15,10,8,8,2,12,NA,12,10,15,NA,NA,8,8,NA,NA,-,-,NA,NA,8,186
S. PEREZ,2016,-,8,-,NA,NA,6,15,1,15,NA,NA,-,8,1,-,10,4,NA,4,6,2,NA,NA,-,4,NA,NA,4,12,NA,NA,1,101
V. BOTTAS,2016,4,10,1,NA,NA,10,-,15,8,NA,NA,2,-,2,2,4,8,NA,-,1,12,NA,NA,12,-,NA,NA,-,-,NA,NA,4,85
N. HULKENBERG,2016,6,4,-,NA,NA,-,8,4,2,NA,NA,-,6,6,1,12,1,NA,-,4,-,NA,NA,-,6,NA,NA,-,6,NA,NA,6,72
F. ALONSO,2016,-,6,-,NA,NA,-,10,-,-,NA,NA,-,-,-,6,6,-,NA,6,-,8,NA,NA,1,1,NA,NA,10,1,NA,NA,-,54
F. MASSA,2016,10,-,8,NA,NA,4,1,-,1,NA,NA,-,-,-,-,1,2,NA,-,2,10,NA,NA,10,2,NA,NA,6,-,NA,NA,2,53
C. SAINZ,2016,2,-,2,NA,NA,8,4,2,-,NA,NA,4,4,-,4,-,-,NA,-,-,-,NA,NA,2,-,NA,NA,8,8,NA,NA,-,46
R. GROSJEAN,2016,8,-,-,NA,NA,-,-,-,-,NA,NA,6,-,-,-,-,-,NA,-,-,4,NA,NA,-,-,NA,NA,1,-,NA,NA,-,29
D. KVYAT,2016,-,-,15,NA,NA,1,-,-,-,NA,NA,-,1,-,-,-,-,NA,2,-,-,NA,NA,-,-,NA,NA,-,-,NA,NA,-,25
J. BUTTON,2016,-,2,-,NA,NA,2,2,-,-,NA,NA,8,-,4,-,-,-,NA,-,-,1,NA,NA,-,-,NA,NA,2,-,NA,NA,-,21
K. MAGNUSSEN,2016,-,-,-,NA,NA,-,-,-,-,NA,NA,-,-,-,-,-,-,NA,1,-,6,NA,NA,-,-,NA,NA,-,-,NA,NA,-,7
F. NASR,2016,-,-,-,NA,NA,-,-,-,-,NA,NA,-,-,-,-,-,-,NA,-,-,-,NA,NA, ,-,NA,NA,-,2,NA,NA,-,2
J. PALMER,2016,-,1,-,NA,NA,-,-,-,-,NA,NA,-,-,-,-,-,-,NA,-,-,-,NA,NA,-,-,NA,NA,-,-,NA,NA,-,1
P. WEHRLEIN,2016,-,-,-,NA,NA,-,-,-,-,NA,NA,1,-,-,-,-,-,NA,-,-,-,NA,NA,-,-,NA,NA,-,-,NA,NA,-,1
S. VANDOORNE,2016, , , ,NA,NA, , , , ,NA,NA, , , , , , ,NA, , , ,NA,NA,-, ,NA,NA, , ,NA,NA, ,1
E. GUTIERREZ,2016,-,-,-,NA,NA,-,-,-,-,NA,NA,-,-,-,-,-,-,NA,-,-,-,NA,NA,-,-,NA,NA,-,-,NA,NA,-,0
M. ERICSSON,2016,-,-,-,NA,NA,-,-,-,-,NA,NA,-,-,-,-,-,-,NA,-,-,-,NA,NA,-,-,NA,NA,-,-,NA,NA,-,0
E. OCON,2016, ,-, ,NA,NA, , , , ,NA,NA, , , , ,-,-,NA,-,-, ,NA,NA, ,-,NA,NA,-,-,NA,NA,-,0
R. HARYANTO,2016,-, ,-,NA,NA,-,-,-,-,NA,NA,-,-,-,-, , ,NA, , ,-,NA,NA,NA, ,NA,NA, , ,NA,NA, ,0
