Drivers,Year,Australia,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Germany,Hungary,Belgium,Italy,Netherlands,Singapore,Japan,Russia,Emilia_Romagna,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total_Points
L. HAMILTON,2017,18,18,25,NA,NA,25,6,25,NA,NA,10,12,25,NA,12,25,25,NA,25,25,12,NA,NA,25,18,NA,NA,25,12,NA,NA,2,363
S. VETTEL,2017,25,12,18,NA,NA,18,25,12,NA,NA,12,18,6,NA,25,18,15,NA,-,-,18,NA,NA,18,15,NA,NA,18,25,NA,NA,12,317
V. BOTTAS,2017,15,10,8,NA,NA,-,12,18,NA,NA,18,25,18,NA,15,10,18,NA,15,12,25,NA,NA,6,25,NA,NA,10,18,NA,NA,18,305
K. RAIKKONEN,2017,12,-,10,NA,NA,-,18,6,NA,NA,-,10,15,NA,18,12,10,NA,-,10,15,NA,NA,15,12,NA,NA,15,15,NA,NA,15,205
D. RICCIARDO,2017,-,15,12,NA,NA,15,15,15,NA,NA,25,15,10,NA,-,15,12,NA,18,15,-,NA,NA,4,-,NA,NA,-,8,NA,NA,-,200
M. VERSTAPPEN,2017,10,25,15,NA,NA,-,10,-,NA,NA,-,-,12,NA,10,-,1,NA,-,18,10,NA,NA,8,10,NA,NA,12,10,NA,NA,25,168
S. PEREZ,2017,6,8,2,NA,NA,12,-,10,NA,NA,-,6,2,NA,4,-,2,NA,10,6,8,NA,NA,-,6,NA,NA,4,2,NA,NA,6,100
E. OCON,2017,1,1,1,NA,NA,10,-,8,NA,NA,8,4,4,NA,2,2,8,NA,1,8,6,NA,NA,12,4,NA,NA,8,-,NA,NA,10,87
C. SAINZ,2017,4,-,6,NA,NA,6,8,-,NA,NA,4,-,-,NA,6,1,-,NA,12,-,1,NA,NA,-,-,NA,NA,6,-,NA,NA,-,54
N. HULKENBERG,2017,-,-,-,NA,NA,8,-,4,NA,NA,-,-,8,NA,-,8,-,NA,-,-,4,NA,NA,1,8,NA,NA,-,1,NA,NA,-,43
F. MASSA,2017,8,2,-,NA,NA,-,2,-,NA,NA,-,2,1,NA,-,4,4,NA,-,1,2,NA,NA,10,1,NA,NA,2,6,NA,NA,-,43
L. STROLL,2017,-,4,-,NA,NA,-,-,2,NA,NA,15,1,-,NA,-,-,6,NA,4,-,-,NA,NA,2,-,NA,NA,-,-,NA,NA,8,40
R. GROSJEAN,2017,-,-,-,NA,NA,1,4,1,NA,NA,-,8,-,NA,-,6,-,NA,2,2,-,NA,NA,-,-,NA,NA,-,-,NA,NA,-,28
K. MAGNUSSEN,2017,-,-,4,NA,NA,-,1,-,NA,NA,6,-,-,NA,-,-,-,NA,-,4,-,NA,NA,-,-,NA,NA,-,-,NA,NA,4,19
F. ALONSO,2017,-,-,-,NA,NA,-, ,-,NA,NA,2,-,-,NA,8,-,-,NA,-,-,-,NA,NA,-,2,NA,NA,-,4,NA,NA,1,17
S. VANDOORNE,2017,-,6,-,NA,NA,-,-,-,NA,NA,-,-,-,NA,1,-,-,NA,6,-,-,NA,NA,-,-,NA,NA,-,-,NA,NA,-,13
J. PALMER,2017,-,-,-,NA,NA,-,-,-,NA,NA,-,-,-,NA,-,-,-,NA,8,-,-,NA,NA, , ,NA,NA, , ,NA,NA, ,8
P. WEHRLEIN,2017,-,-, ,NA,NA,4,-,-,NA,NA,1,-,-,NA,-,-,-,NA,-,-,-,NA,NA,-,-,NA,NA,-,-,NA,NA,-,5
D. KVYAT,2017,2, ,-,NA,NA,2,-,-,NA,NA,-,-,-,NA,-,-,-,NA,-, ,-,NA,NA,-, ,NA,NA,1, ,NA,NA, ,5
M. ERICSSON,2017,-,-,-,NA,NA,-,-,-,NA,NA,-,-,-,NA,-,-,-,NA,-,-,-,NA,NA,-,-,NA,NA,-,-,NA,NA,-,0
P. GASLY,2017, ,-, ,NA,NA, , , ,NA,NA, , , ,NA, , , ,NA, ,-, ,NA,NA,-,-,NA,NA, ,-,NA,NA,-,0
A. GIOVINAZZI,2017,-, ,-,NA,NA, , , ,NA,NA, , , ,NA, , , ,NA, , , ,NA,NA,-, ,NA,NA, , ,NA,NA, ,0
B. HARTLEY,2017, , , ,NA,NA, , , ,NA,NA, , , ,NA, , , ,NA, , , ,NA,NA, ,-,NA,NA,-,-,NA,NA,-,0
