Drivers,Year,Australia,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Germany,Hungary,Belgium,Italy,Netherlands,Singapore,Japan,Russia,Emilia_Romagna,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total_Points
M. VERSTAPPEN,2022,-,NA,NA,NA,-,25,15,25,NA,25,25,27,6,NA,25,26,25,26,6,25,NA,34,NA,NA,25,NA,25,25,13,NA,26,25,454
C. LECLERC,2022,26,NA,NA,NA,26,-,12,10,NA,-,-,32,12,NA,8,8,18,15,18,15,NA,15,NA,NA,18,NA,19,15,15,NA,18,8,308
S. PEREZ,2022,18,NA,NA,NA,-,19,25,-,NA,12,19,4,18,NA,10,18,9,10,25,18,NA,24,NA,NA,15,NA,12,12,10,NA,12,15,305
G. RUSSELL,2022,15,NA,NA,NA,12,15,10,12,NA,15,15,17,-,NA,15,12,15,18,-,4,NA,12,NA,NA,10,NA,10,11,34,NA,10,13,275
C. SAINZ,2022,-,NA,NA,NA,18,12,18,19,NA,11,-,6,25,NA,12,15,12,4,15,-,NA,5,NA,NA,12,NA,15,-,22,NA,15,10,246
L. HAMILTON,2022,12,NA,NA,NA,15,10,4,15,NA,18,12,16,16,NA,19,-,10,12,2,10,NA,-,NA,NA,-,NA,1,18,24,NA,8,18,240
L. NORRIS,2022,10,NA,NA,NA,-,4,9,-,NA,6,2,6,8,NA,6,-,6,6,12,1,NA,19,NA,NA,9,NA,6,8,2,NA,-,2,122
E. OCON,2022,6,NA,NA,NA,6,6,-,8,NA,4,1,13,-,NA,2,6,-,2,-,12,NA,-,NA,NA,6,NA,8,-,4,NA,4,4,92
F. ALONSO,2022,-,NA,NA,NA,2,2,6,2,NA,8,6,1,10,NA,4,10,-,8,-,6,NA,-,NA,NA,-,NA,-,6,10,NA,-,-,81
V. BOTTAS,2022,4,NA,NA,NA,8,8,2,6,NA,-,-,-,-,NA,-,-,-,-,-,-,NA,12,NA,NA,-,NA,-,-,2,NA,6,1,49
D. RICCIARDO,2022,8,NA,NA,NA,-,-,-,-,NA,2,4,2,-,NA,-,-,-,-,10,-,NA,3,NA,NA,2,NA,-,-,-,NA,-,6,37
S. VETTEL,2022,-,NA,NA,NA,-,-,1,-,NA,-,8,-,2,NA,1,4,-,-,4,8,NA,4,NA,NA,1,NA, ,4,-,NA,-,-,37
K. MAGNUSSEN,2022,-,NA,NA,NA,10,-,-,-,NA,-,-,6,1,NA,-,-,-,-,-,-,NA,3,NA,NA,-,NA,2,2,1,NA,-,-,25
P. GASLY,2022,2,NA,NA,NA,-,-,-,-,NA,-,10,-,-,NA,-,2,4,-,1,-,NA,-,NA,NA,-,NA,4,-,-,NA,-,-,23
L. STROLL,2022,-,NA,NA,NA,-,-,-,1,NA,1,-,-,-,NA,-,-,-,1,8,-,NA,1,NA,NA,4,NA,-,-,1,NA,1,-,18
M. SCHUMACHER,2022,-,NA,NA,NA,-,-,-,-,NA,-,-,8,4,NA,-,-,-,-,-,-,NA,-,NA,NA,-,NA,-,-,-,NA,-,-,12
Y. TSUNODA,2022,-,NA,NA,NA,4,1,-,-,NA,-,-,-,-,NA,-,-,-,-,-,-,NA,6,NA,NA,-,NA,-,1,-,NA,-,-,12
G. ZHOU,2022,-,NA,NA,NA,1,-,-,4,NA,-,-,-,-,NA,-,-,1,-,-,-,NA,-,NA,NA,-,NA,-,-,-,NA,-,-,6
A. ALBON,2022,1,NA,NA,NA,-,-,-,-,NA,-,-,-,-,NA,-,1,-,-,-,-,NA,-,NA,NA,-,NA,-,-,-,NA,2,-,4
N. LATIFI,2022,-,NA,NA,NA,-,-,-,-,NA,-,-,-,-,NA,-,-,-,-,-,2,NA,-,NA,NA,-,NA,-,-,-,NA,-,-,2
N. de VRIES,2022, ,NA,NA,NA, , , , ,NA, , , , ,NA, , ,2, , , ,NA, ,NA,NA, ,NA, , , ,NA, , ,2
N. HULKENBERG,2022, ,NA,NA,NA,-, , , ,NA, , , , ,NA, , , , , , ,NA, ,NA,NA, ,NA,-, , ,NA, , ,0
